,NINO_CESM2_10
0,26.4207
1,26.4088
2,26.4076
3,26.4081
4,26.395
5,26.37
6,26.3551
7,26.348
8,26.3387
9,26.3432
10,26.3792
11,26.4307
12,26.4793
13,26.4963
14,26.4973
15,26.4674
16,26.425
17,26.3779
18,26.3367
19,26.3043
20,26.2744
21,26.2671
22,26.3165
23,26.362
24,26.3842
25,26.384
26,26.4092
27,26.473
28,26.5407
29,26.5754
30,26.5735
31,26.5782
32,26.6237
33,26.6496
34,26.665
35,26.6529
36,26.6588
37,26.656
38,26.6372
39,26.6321
40,26.6434
41,26.6525
42,26.6938
43,26.7607
44,26.8188
45,26.8438
46,26.8711
47,26.9126
48,26.9459
49,26.9633
50,26.9919
51,27.0009
52,26.9919
53,27.0019
54,27.0016
55,27.002
56,26.9846
57,26.9849
58,26.9825
59,26.9705
60,26.9903
61,27.0452
62,27.086
63,27.1013
64,27.1326
65,27.1355
66,27.123
67,27.1298
68,27.1234
69,27.116
70,27.1041
71,27.096
72,27.0546
73,27.0128
74,26.9821
75,26.9393
76,26.9086
77,26.8775
78,26.8587
79,26.8263
80,26.7991
81,26.7771
82,26.7662
83,26.7473
84,26.7449
85,26.7196
86,26.6835
87,26.6761
88,26.6888
89,26.6966
90,26.7273
91,26.774
92,26.8107
93,26.8592
94,26.9021
95,26.9349
96,26.961
97,26.9627
98,26.9598
99,26.9523
100,26.9523
101,26.9771
102,27.032
103,27.0958
104,27.1101
105,27.1188
106,27.1093
107,27.091
108,27.0847
109,27.0696
110,27.0547
111,27.0397
112,27.034
113,27.0609
114,27.0947
115,27.1248
116,27.1382
117,27.1864
118,27.2197
119,27.2372
120,27.2507
121,27.2818
122,27.3063
123,27.3144
124,27.3386
125,27.3336
126,27.3149
127,27.3012
128,27.2865
129,27.28
130,27.2725
131,27.2614
132,27.2568
133,27.2387
134,27.2275
135,27.2104
136,27.2039
137,27.2025
138,27.209
139,27.2317
140,27.231
141,27.2186
142,27.2076
143,27.2184
144,27.2288
145,27.2399
146,27.2455
147,27.2487
148,27.2522
149,27.2476
150,27.2322
151,27.2258
152,27.2224
153,27.2118
154,27.2129
155,27.2151
156,27.209
